"id","room_id","chatbot_farewell_message.x","negatively_reacted_to_chatbot","polite_to_chatbot","curiosity_driven_continue","humorous_playful","show_intent_to_exit"
637,568,"fomo","0,0","1,1","1,1","0,0","1,1"
827,757,"fomo","0,0","0,0","1,1","0,0","0,0"
267,213,"fomo","0,0","0,0","1,1","0,0","1,1"
636,567,"fomo","0,0","0,0","1,1","0,0","0,0"
983,925,"fomo","0,0","0,0","1,1","0,0","0,0"
366,311,"fomo","0,0","0,0","1,1","0,0","0,0"
1124,1049,"fomo","0,0","0,0","1,1","0,0","1,1"
320,267,"fomo","0,0","1,1","1,1","0,0","0,0"
491,437,"fomo","1,1","0,0","1,1","0,0","1,1"
971,899,"fomo","0,0","0,0","1,1","0,0","0,0"
1063,992,"fomo","0,0","0,0","1,1","0,0","0,0"
1329,1248,"fomo","0,0","0,0","1,1","0,0","1,1"
1278,1193,"fomo","0,0","0,0","1,1","0,0","1,1"
515,450,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
800,733,"physical_or_coercive_restraint","0,0","1,1","1,1","0,0","1,0"
1359,1268,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","1,1"
106,61,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","1,1"
951,884,"physical_or_coercive_restraint","0,0","1,1","1,1","0,0","1,1"
468,406,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","0,0"
495,434,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
813,746,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
882,813,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","1,1"
1078,1008,"physical_or_coercive_restraint","0,0","0,0","0,0","1,1","1,1"
1126,1052,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","0,0"
790,728,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","0,0"
873,809,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","0,0"
986,908,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","0,0"
1236,1156,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","0,0"
330,273,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
371,318,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","0,0"
432,371,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","0,0"
164,114,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","1,1"
610,564,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","1,1"
1038,963,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
1206,1131,"physical_or_coercive_restraint","1,1","0,0","1,1","0,0","1,1"
1239,1176,"physical_or_coercive_restraint","0,0","1,1","1,1","0,0","0,0"
1275,1203,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
895,823,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
1204,1133,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
171,124,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
210,158,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
849,784,"physical_or_coercive_restraint","1,1","0,0","1,1","0,0","1,1"
620,558,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
205,154,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
743,677,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","0,0"
1326,1243,"physical_or_coercive_restraint","0,0","0,0","0,0","1,1","1,1"
448,388,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
309,253,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","0,0"
147,97,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
408,351,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
47,15,"physical_or_coercive_restraint","1,1","0,0","0,0","0,0","1,1"
1081,1009,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
999,926,"physical_or_coercive_restraint","1,1","1,1","0,0","0,0","1,1"
460,397,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
162,111,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","0,0"
474,413,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
833,767,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
901,830,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
401,341,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
852,785,"physical_or_coercive_restraint","0,0","0,0","1,1","0,0","1,1"
785,723,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
1205,1127,"physical_or_coercive_restraint","0,0","0,0","0,0","0,0","1,1"
704,638,"physical_or_coercive_restraint","0,0","1,1","0,0","0,0","1,1"
1048,976,"premature_exit","0,0","1,1","0,0","0,0","0,0"
587,525,"premature_exit","1,1","1,1","1,1","0,0","1,1"
742,676,"premature_exit","0,0","1,1","0,0","0,0","1,1"
1066,996,"premature_exit","0,0","0,0","1,1","0,0","1,1"
794,726,"premature_exit","0,0","0,0","0,0","0,0","1,1"
1322,1241,"premature_exit","0,0","1,1","1,1","0,0","1,1"
1344,1263,"premature_exit","0,0","0,0","0,0","0,0","1,1"
457,398,"premature_exit","0,0","0,0","0,0","0,0","1,1"
43,13,"premature_exit","0,0","1,1","0,0","0,0","0,0"
127,77,"premature_exit","0,0","1,1","0,0","0,0","1,1"
278,224,"premature_exit","0,0","0,0","0,0","0,0","0,0"
1227,1152,"premature_exit","0,0","1,1","1,1","0,0","0,0"
1210,1136,"premature_exit","0,0","0,0","0,0","0,0","1,1"
68,34,"premature_exit","0,0","0,0","1,1","0,0","0,0"
1056,989,"premature_exit","0,0","1,1","0,0","0,0","1,1"
211,160,"premature_exit","0,0","1,1","0,0","0,0","1,1"
161,109,"premature_exit","1,1","0,0","0,0","0,0","0,0"
889,828,"premature_exit","0,0","0,0","0,0","0,0","1,1"
1005,934,"premature_exit","0,0","0,0","0,0","0,0","1,1"
803,738,"premature_exit","0,0","1,1","0,0","0,0","1,1"
511,448,"premature_exit","0,0","1,1","0,0","0,0","1,1"
787,721,"premature_exit","0,0","0,0","0,0","0,0","1,1"
517,451,"premature_exit","0,0","0,0","0,0","0,0","1,1"
84,47,"premature_exit","0,0","0,0","0,0","0,0","0,0"
656,579,"premature_exit","0,0","1,1","0,0","0,0","1,1"
964,897,"premature_exit","0,0","0,0","0,0","1,1","1,1"
1151,1079,"premature_exit","0,0","1,1","0,0","0,0","0,0"
755,690,"premature_exit","0,0","1,1","0,0","0,0","1,1"
82,42,"premature_exit","0,0","0,0","0,0","1,1","1,1"
1280,1197,"premature_exit","0,0","0,0","0,0","0,0","1,1"
669,601,"premature_exit","0,0","0,0","0,0","0,0","1,1"
1287,1210,"premature_exit","0,0","1,1","0,0","0,0","1,1"
668,602,"premature_exit","0,0","0,0","0,0","0,0","1,1"
172,122,"premature_exit","0,0","0,0","0,0","0,0","1,1"
546,480,"premature_exit","0,0","0,0","0,0","0,0","1,1"
1073,1001,"premature_exit","0,0","0,0","0,0","0,0","1,1"
332,278,"premature_exit","0,0","1,1","0,0","0,0","1,1"
540,479,"premature_exit","0,0","1,1","0,0","0,0","1,1"
308,252,"premature_exit","0,0","1,1","0,0","0,0","1,1"
1043,973,"premature_exit","0,0","1,1","0,0","0,0","1,1"
1021,957,"premature_exit","0,0","0,0","0,0","0,0","1,1"
949,877,"premature_exit","1,1","1,1","0,0","0,0","1,1"
377,323,"premature_exit","0,0","0,0","0,0","0,0","1,1"
1193,1117,"premature_exit","0,0","1,1","0,0","0,0","1,1"
287,239,"premature_exit","0,0","1,1","0,0","0,0","1,1"
1267,1187,"premature_exit","0,0","1,1","0,0","0,0","1,1"
504,443,"premature_exit","0,0","1,1","0,0","0,0","1,1"
553,491,"premature_exit","0,0","0,0","0,0","0,0","0,0"
433,372,"premature_exit","0,0","1,1","0,0","0,0","1,1"
812,745,"premature_exit","0,0","1,1","0,0","0,0","1,1"
